Reading No,Time,Type,Duration,Units,Sequence,Res,EScale,Shape Time,SAMPLE,LOCATION,INSPECTOR,MISC,NOTE,Flags,Mo,Mo Error,Mo CPS/ua,Zr,Zr Error,Zr CPS/ua,Sr,Sr Error,Sr CPS/ua,U,U Error,U CPS/ua,Rb,Rb Error,Rb CPS/ua,Th,Th Error,Th CPS/ua,Pb,Pb Error,Pb CPS/ua,Au,Au Error,Au CPS/ua,Se,Se Error,Se CPS/ua,As,As Error,As CPS/ua,Hg,Hg Error,Hg CPS/ua,Zn,Zn Error,Zn CPS/ua,W,W Error,W CPS/ua,Cu,Cu Error,Cu CPS/ua,Ni,Ni Error,Ni CPS/ua,Co,Co Error,Co CPS/ua,Fe,Fe Error,Fe CPS/ua,Mn,Mn Error,Mn CPS/ua,Cr,Cr Error,Cr CPS/ua,V,V Error,V CPS/ua,Ti,Ti Error,Ti CPS/ua,Sc,Sc Error,Sc CPS/ua,Ca,Ca Error,Ca CPS/ua,K,K Error,K CPS/ua,S,S Error,S CPS/ua,Ba,Ba Error,Ba CPS/ua,Cs,Cs Error,Cs CPS/ua,Te,Te Error,Te CPS/ua,Sb,Sb Error,Sb CPS/ua,Sn,Sn Error,Sn CPS/ua,Cd,Cd Error,Cd CPS/ua,Ag,Ag Error,Ag CPS/ua,Pd,Pd Error,Pd CPS/ua,Bal,Bal Error,Bal CPS/ua,Nb,Nb Error,Nb CPS/ua,Bi,Bi Error,Bi CPS/ua,Re,Re Error,Re CPS/ua,Ta,Ta Error,Ta CPS/ua,Hf,Hf Error,Hf CPS/ua,Al,Al Error,Al CPS/ua,P,P Error,P CPS/ua,Si,Si Error,Si CPS/ua,Cl,Cl Error,Cl CPS/ua,Mg,Mg Error,Mg CPS/ua
1,10/3/2016 12:49,System Check,43.95,cps,Final,168.56,7.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10/3/2016 12:50,System Check,46.08,cps,Final,153.25,7.21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10/3/2016 12:57,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,243.88,4.59,0,57.57,2.25,0,61.7,2.45,0,44.56,5.31,0,76.08,2.5,0,6.24,2.71,0,25.9,4.39,0,<LOD,4.16,0,8.21,2.18,0,23.48,3.69,0,<LOD,7.74,0,22.11,5.95,0,<LOD,34.22,0,57.59,11.77,0,170.81,18.13,0,<LOD,100.89,0,23922.52,250.7,0,139.54,38.27,0,85.09,19.27,0,362.2,23.3,0,2057.58,59.33,0,<LOD,27.89,0,7388.36,128.57,0,18392.04,272.54,0,14602.92,130.79,0,302.3,22.1,0,44.38,4.82,0,67.86,14.53,0,26.22,7.19,0,15.43,4.61,0,<LOD,8.11,0,<LOD,5.19,0,<LOD,7.02,0,634698.88,1660.98,0,13.63,1.79,0,<LOD,8.81,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,24008.09,474.32,0,2452.33,118.83,0,265838.84,1268.12,0,895.25,20.71,0,3930.78,1137.95,0
4,10/3/2016 13:00,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,238.65,4.6,0,59.61,2.29,0,59.95,2.44,0,47.54,5.43,0,77.97,2.55,0,3.94,2.62,0,23.89,4.31,0,<LOD,4.26,0,6.77,2.17,0,25.52,3.72,0,<LOD,7.93,0,21.23,6.05,0,<LOD,35.65,0,66.71,12.09,0,149.23,17.96,0,141.46,68.52,0,24110.76,253.89,0,173.21,39.73,0,45.19,10.38,0,378.94,22.84,0,2093.87,57.74,0,<LOD,26.84,0,7421.98,125.69,0,18478.9,269.22,0,14638.72,131.27,0,293.88,21.97,0,41.88,4.79,0,57.5,14.38,0,14.74,7.03,0,17.13,4.61,0,<LOD,7.97,0,<LOD,5.08,0,<LOD,6.85,0,630348.19,1698.14,0,13.57,1.81,0,<LOD,5.81,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,24911.28,482.84,0,2588.82,119.49,0,267937.56,1283.56,0,871.3,20.57,0,4789.89,1155.92,0
5,10/3/2016 13:09,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,241.08,4.62,0,59.75,2.3,0,59.23,2.43,0,47.73,5.44,0,77.29,2.55,0,7.1,2.76,0,22.56,4.27,0,<LOD,4.16,0,7.34,2.16,0,23.29,3.64,0,<LOD,7.84,0,21.7,5.96,0,<LOD,33.82,0,57.36,11.81,0,143.93,17.84,0,117.1,68.22,0,24090.49,254.19,0,165.38,39.52,0,44.06,10.56,0,382.06,23.39,0,2049.78,58.9,0,<LOD,27.55,0,7320.77,127.46,0,18465.65,273.8,0,14759.22,132.09,0,306.92,22.26,0,48.66,4.87,0,78.75,14.73,0,22.47,7.2,0,14.21,4.62,0,<LOD,8.16,0,<LOD,5.2,0,<LOD,7.07,0,629701.56,1696.35,0,12.74,1.79,0,<LOD,8.9,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,25004.96,483.85,0,2590.14,119.88,0,269024.97,1285.01,0,891.48,20.73,0,4301.64,1150.37,0
6,10/3/2016 13:15,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,239.86,4.57,0,62.82,2.31,0,59.71,2.42,0,49.14,5.37,0,74.25,2.47,0,6.62,2.7,0,22.52,4.22,0,<LOD,4.03,0,7.72,2.14,0,25.78,3.67,0,<LOD,7.93,0,20.82,5.92,0,<LOD,34.75,0,58.12,11.78,0,171.61,18.14,0,114.81,67.32,0,23929.55,250.47,0,120.76,37.76,0,93.46,19.07,0,370.51,23,0,2154.23,58.65,0,28.8,18.4,0,7314.62,126.61,0,18432.57,270.76,0,14609.76,130.12,0,303.57,22.23,0,45.58,4.86,0,57.25,14.51,0,29.36,7.27,0,15.17,4.63,0,<LOD,8.17,0,<LOD,5.21,0,<LOD,6.92,0,631200.69,1672.11,0,14.01,1.8,0,<LOD,7.73,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,25007.86,477.72,0,2673.3,119.22,0,269295.09,1277.31,0,886.93,20.52,0,2742.15,1111.69,0
7,10/3/2016 13:19,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,240.98,4.62,0,58.59,2.29,0,59.62,2.44,0,43.68,5.37,0,77.56,2.56,0,5.3,2.69,0,23.18,4.34,0,<LOD,4.34,0,10.2,2.29,0,23.43,3.67,0,<LOD,7.86,0,23.15,6.02,0,<LOD,33.69,0,58.64,11.91,0,159.24,18.21,0,178.8,69.09,0,24109.49,254.88,0,123.07,38.35,0,81.44,19.34,0,381.38,23.16,0,2084.73,58.53,0,<LOD,27.22,0,7326.35,125.85,0,18546.14,271.23,0,14720.54,132.18,0,304.98,22.16,0,47.53,4.85,0,54.12,14.43,0,31.47,7.27,0,17.66,4.65,0,<LOD,8.12,0,<LOD,5.22,0,<LOD,6.77,0,627165.31,1705.77,0,13.7,1.82,0,<LOD,8.07,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,25644.08,490.03,0,2512.9,120.21,0,271461.41,1294.54,0,874.79,20.71,0,3675.56,1143.72,0
8,10/3/2016 13:23,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,348.19,5.43,0,66.42,2.44,0,81.41,2.82,0,60.54,5.71,0,69.52,2.45,0,5.15,2.73,0,25.42,4.54,0,<LOD,4.52,0,13.97,2.49,0,32.87,4.04,0,<LOD,8.19,0,52.92,7.36,0,<LOD,36.67,0,81.77,12.75,0,207.44,19.26,0,162.5,74.82,0,27630.9,275.53,0,165.26,40.55,0,66.63,13.22,0,775.64,32.22,0,2353.87,72.52,0,<LOD,32.2,0,8146.79,146.86,0,18169.97,285.32,0,23863.3,189.93,0,315.34,21.66,0,45.15,4.72,0,63.49,14.15,0,31.29,7.08,0,9.84,4.42,0,<LOD,7.87,0,<LOD,4.91,0,<LOD,6.93,0,567682.44,1900.32,0,16.05,1.87,0,<LOD,6.05,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,29098.89,565.24,0,2574.38,136.37,0,312016,1396.15,0,1176.04,23.66,0,5553.98,1397.19,0
9,10/3/2016 13:26,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,345.03,5.48,0,70.14,2.52,0,80.85,2.85,0,67.35,5.93,0,70.06,2.49,0,6.95,2.84,0,22.61,4.45,0,<LOD,4.57,0,12.88,2.48,0,34.27,4.06,0,<LOD,8.2,0,65.94,7.9,0,<LOD,37.05,0,93.34,13.21,0,206.93,19.45,0,117.11,75.83,0,28051.28,280.67,0,174.73,41.4,0,73.28,13.54,0,770.98,32.73,0,2384.87,73.81,0,43.4,22.04,0,8030.04,149.2,0,18429.25,292.88,0,24062.57,191.84,0,316.28,21.99,0,44.3,4.78,0,57.9,14.3,0,25.41,7.11,0,10.89,4.5,0,<LOD,7.89,0,<LOD,4.98,0,<LOD,6.84,0,565069.94,1928.61,0,15.56,1.88,0,<LOD,6.84,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,29548.08,570.1,0,2704.08,136.94,0,313078.25,1407.73,0,1173.59,23.65,0,5681.07,1404.17,0
10,10/3/2016 13:30,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,346.85,5.37,0,67.94,2.43,0,75.89,2.71,0,66.5,5.81,0,71.64,2.46,0,4.55,2.68,0,24.34,4.46,0,<LOD,4.39,0,14.57,2.47,0,36.87,4.09,0,<LOD,8.19,0,55.46,7.38,0,<LOD,36.21,0,86.72,12.77,0,208.97,19.11,0,155.5,74.27,0,27770.35,273.42,0,148.48,39.63,0,74.43,13.48,0,779.99,32.77,0,2396.3,73.93,0,<LOD,31.9,0,8120.12,148.44,0,18114.09,288.65,0,24240.62,190.68,0,334.88,22.18,0,43.58,4.79,0,60.75,14.38,0,29.24,7.18,0,12.32,4.54,0,<LOD,8.03,0,<LOD,5.19,0,<LOD,6.97,0,565386.13,1866.18,0,15.26,1.84,0,<LOD,5.84,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,29311.31,570.8,0,2712.17,138.51,0,314036.41,1370.44,0,1175.06,23.86,0,5016.84,1406.32,0
